2021年10月20日15时59分53秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月20日15时18分5秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时18分5秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时18分5秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时18分4秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时18分4秒	JJparents-2  执行步骤:询问是否继续打二麻
2021年10月20日15时18分4秒	JJparents-3  执行步骤:点开报名界面
2021年10月20日15时18分4秒	JJparents-3  执行步骤:获取进入场
2021年10月20日15时18分4秒	JJparents-3  执行步骤:更新昵称
2021年10月20日15时18分4秒	JJparents-3  执行步骤:更新金币数
2021年10月20日15时18分4秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时18分4秒	JJparents-3  执行步骤:询问是否继续打二麻
2021年10月20日15时18分1秒	JJparents-2  执行步骤:返回自由桌界面
2021年10月20日15时18分	JJparents-3  执行步骤:返回自由桌界面
2021年10月20日15时17分43秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时17分43秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时17分43秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时17分43秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时17分43秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时16分54秒	JJparents-3  执行步骤:进入游戏获取对局ID
2021年10月20日15时16分53秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时16分53秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时16分49秒	JJparents-1  执行步骤:金币不足
2021年10月20日15时16分48秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时16分48秒	JJparents-3  执行步骤:3秒后开始报名
2021年10月20日15时16分48秒	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时16分45秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时16分43秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时16分42秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时16分42秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时16分42秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时16分23秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时16分22秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月20日15时16分13秒	JJparents-3  执行步骤:等待报名
2021年10月20日15时16分11秒	JJparents-3  执行步骤:点开报名界面
2021年10月20日15时16分11秒	JJparents-3  执行步骤:获取进入场
2021年10月20日15时16分10秒	JJparents-3  执行步骤:更新昵称
2021年10月20日15时16分10秒	JJparents-3  执行步骤:更新金币数
2021年10月20日15时16分5秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时16分2秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时16分2秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时16分2秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时16分2秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时15分49秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时15分48秒	JJparents-3  执行步骤:登录结果:登录成功
2021年10月20日15时15分42秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时15分41秒	JJparents-2  执行步骤:登录结果:登录成功
2021年10月20日15时15分29秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时15分29秒	JJparents-1  执行步骤:登录失败
2021年10月20日15时15分29秒	JJparents-1  执行步骤:登录结果:账号已登录
2021年10月20日15时15分19秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时15分19秒	JJparents-1  执行步骤:登录失败
2021年10月20日15时15分19秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月20日15时15分10秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时15分10秒	JJparents-1  执行步骤:登录失败
2021年10月20日15时15分10秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月20日15时15分7秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时15分7秒	JJparents-3  执行步骤:登录失败
2021年10月20日15时15分7秒	JJparents-3  执行步骤:登录结果:账号或密码错误
2021年10月20日15时15分4秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时15分4秒	JJparents-2  执行步骤:登录失败
2021年10月20日15时15分4秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月20日15时15分	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时15分	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时15分	JJparents-1  执行步骤:登录游戏
2021年10月20日15时15分	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时15分	JJparents-1  执行步骤:打开完成
2021年10月20日15时14分57秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时14分57秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时14分57秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时14分57秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时14分57秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时14分55秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时14分54秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时14分54秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时14分54秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时14分54秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时13分59秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时13分59秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时13分59秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时12分33秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时12分33秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时12分33秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时6分35秒	JJparents-3  执行步骤:进入游戏获取对局ID
2021年10月20日15时6分33秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时6分33秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月20日15时6分28秒	JJparents-3  执行步骤:3秒后开始报名
2021年10月20日15时6分28秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时6分28秒	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时6分25秒	JJparents-3  执行步骤:等待报名
2021年10月20日15时6分17秒	JJparents-3  执行步骤:点开报名界面
2021年10月20日15时6分16秒	JJparents-3  执行步骤:获取进入场
2021年10月20日15时6分16秒	JJparents-3  执行步骤:更新昵称
2021年10月20日15时6分16秒	JJparents-3  执行步骤:更新金币数
2021年10月20日15时5分56秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时5分55秒	JJparents-3  执行步骤:登录结果:登录成功
2021年10月20日15时5分14秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时5分14秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时5分14秒	JJparents-3  执行步骤:登录失败
2021年10月20日15时5分14秒	JJparents-3  执行步骤:登录结果:账号或密码错误
2021年10月20日15时5分12秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时5分12秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时5分12秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时5分12秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时5分12秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时5分12秒	JJparents-1  执行步骤:询问是否继续打二麻
2021年10月20日15时5分5秒	JJparents-1  执行步骤:返回自由桌界面
2021年10月20日15时5分5秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时5分5秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时5分5秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时5分5秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时5分5秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时4分47秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时4分45秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时4分44秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时4分44秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时4分44秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时4分44秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时4分44秒	JJparents-2  执行步骤:询问是否继续打二麻
2021年10月20日15时4分41秒	JJparents-2  执行步骤:返回自由桌界面
2021年10月20日15时4分13秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时4分8秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月20日15时4分6秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时4分3秒	JJparents-3  执行步骤:金币不足
2021年10月20日15时4分2秒	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时4分2秒	JJparents-3  执行步骤:3秒后开始报名
2021年10月20日15时4分2秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时3分59秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时3分58秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时3分58秒	JJparents-3  执行步骤:等待报名
2021年10月20日15时3分56秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时3分56秒	JJparents-3  执行步骤:点开报名界面
2021年10月20日15时3分55秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时3分55秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时3分55秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时3分55秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时3分32秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时3分19秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时3分19秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时3分19秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时3分17秒	JJparents-2  执行步骤:修改密码成功
2021年10月20日15时3分15秒	JJparents-3  执行步骤:获取进入场
2021年10月20日15时3分15秒	JJparents-3  执行步骤:更新昵称
2021年10月20日15时3分15秒	JJparents-3  执行步骤:更新金币数
2021年10月20日15时2分58秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时2分57秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月20日15时2分54秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时2分53秒	JJparents-3  执行步骤:登录结果:登录成功
2021年10月20日15时2分53秒	JJparents-2  执行步骤:修改密码
2021年10月20日15时2分50秒	JJparents-2  执行步骤:登录结果:登录成功
2021年10月20日15时2分15秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时2分15秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时2分15秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时2分15秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时2分15秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时2分12秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时2分12秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时2分12秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时2分12秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时2分12秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时2分10秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时2分10秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时2分10秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时2分10秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时2分10秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时1分16秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时1分14秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时1分14秒	JJparents-1  执行步骤:打开JJ斗地主
